Departamento;Provincia;Distrito;Pobreza
HUÁNUCO;HUAMALÍES                                         ;SINGA                                             ;81.19
HUÁNUCO;HUAMALÍES                                         ;TANTAMAYO                                         ;76.75
HUÁNUCO;LEONCIO PRADO                                     ;RUPA-RUPA                                         ;30.84
HUÁNUCO;LEONCIO PRADO                                     ;DANIEL ALOMIAS ROBLES                             ;55.95
HUÁNUCO;LEONCIO PRADO                                     ;HERMILIO VALDIZÁN                                 ;59.48
HUÁNUCO;LEONCIO PRADO                                     ;JOSÉ CRESPO Y CASTILLO                            ;54.98
HUÁNUCO;LEONCIO PRADO                                     ;LUYANDO                                           ;56.14
HUÁNUCO;LEONCIO PRADO                                     ;MARIANO DAMASO BERAUN                             ;64.30
HUÁNUCO;MARAÑÓN                                           ;HUACRACHUCO                                       ;76.60
HUÁNUCO;MARAÑÓN                                           ;CHOLÓN                                            ;67.70
HUÁNUCO;MARAÑÓN                                           ;SAN BUENAVENTURA                                  ;94.81
HUÁNUCO;PACHITEA                                          ;PANAO                                             ;77.96
HUÁNUCO;PACHITEA                                          ;CHAGLLA                                           ;75.07
HUÁNUCO;PACHITEA                                          ;MOLINO                                            ;82.10
HUÁNUCO;PACHITEA                                          ;UMARI                                             ;85.54
HUÁNUCO;PUERTO INCA                                       ;PUERTO INCA                                       ;49.46
